adult,belongs_to_collection,budget,genres,homepage,id,imdb_id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count
False,"{'id': 308645, 'name': 'The Foreigner Collection', 'poster_path': '/cH5oS9LNPPnGJAKNR4p57Phn3n2.jpg', 'backdrop_path': '/2L4Vz9eVwVUufqQcDYmlkHSx5ep.jpg'}",16000000,"[{'id': 28, 'name': 'Action'}]",,18070,tt0443450,en,Black Dawn,"Jonathan Cold returns, this time he goes Undercover to stop a group of Terrorists before they bomb Los Angeles.",9.989719,/mXGIa08Gv71ESrVTYNKvH9p8zKS.jpg,"[{'name': 'Andrew Stevens Entertainment', 'id': 2100}, {'name': 'Steamroller Productions', 'id': 3495}, {'name': 'Sony Pictures Home Entertainment', 'id': 5388}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2005-01-01,0.0,96.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,It's always darkest before dawn.,Black Dawn,False,3.6,21.0
False,,0,"[{'id': 12, 'name': 'Adventure'}]",,246080,tt2261331,en,Black Sea,"A suspenseful adventure thriller directed by Academy Award winner Kevin Macdonald, centering on a rogue submarine captain who pulls together a misfit crew to go after a sunken treasure rumored to be lost in the depths of the Black Sea. As greed and desperation take control onboard their claustrophobic vessel, the increasing uncertainty of the mission causes the men to turn on each other to fight for their own survival.",9.989679,/ghac5aKzS0tsmBhXXAWURcEEVk0.jpg,"[{'name': 'Cowboy Films', 'id': 245}, {'name': 'Film4', 'id': 9349}, {'name': 'Focus Features', 'id': 10146}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}, {'iso_3166_1': 'RU', 'name': 'Russia'}]",2014-12-05,1171559.0,115.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Brave the deep. Find the gold. Trust no one.,Black Sea,False,6.2,410.0
False,,16000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",,9689,tt0278823,en,Hollywood Ending,"Woody Allen stars as Val Waxman, a two-time Oscar winner turned washed-up, neurotic director in desperate need of a comeback. When it comes, Waxman finds himself backed into a corner: Work for his ex-wife Ellie or forfeit his last shot. Is Val blinded by love when he opts for the reconnect? Is love blind when it comes to Ellie's staunch support? Literally and figuratively, the proof is the picture.",9.987317,/v6vqKjR3VJ9eNY0C0ckGyxT3fCX.jpg,"[{'name': 'DreamWorks SKG', 'id': 27}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2002-05-03,0.0,112.0,"[{'iso_639_1': 'zh', 'name': '普通话'}, {'iso_639_1': 'en', 'name': 'English'}]",Released,It's going to be a shot in the dark!,Hollywood Ending,False,6.4,114.0
False,,0,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",,9967,tt0086508,en,Uncommon Valor,A group of Vietnam War veterans re-unite to rescue one of their own left behind and taken prisoner by the Vietnamese...,9.987072,/7zi8j8T7NKZlcREphMmiXdQKFx6.jpg,"[{'name': 'Paramount Pictures', 'id': 4}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1983-12-16,27900000.0,105.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,Uncommon Valor,False,6.2,54.0
False,,0,"[{'id': 18, 'name': 'Drama'}]",,10238,tt0069467,sv,Viskningar och rop,"When a woman dying of cancer in turn-of-the century Sweden is visited by her two sisters, long repressed feelings between the siblings rise to the surface.",9.983092,/5DCVJb4cdueFevqEjdmOoHHgPh6.jpg,"[{'name': 'Cinematograph AB', 'id': 7445}, {'name': 'Svenska Filminstitutet (SFI)', 'id': 7446}]","[{'iso_3166_1': 'SE', 'name': 'Sweden'}]",1972-12-21,0.0,91.0,"[{'iso_639_1': 'sv', 'name': 'svenska'}]",Released,A haunting and shattering film experience.,Cries and Whispers,False,7.8,118.0
False,,0,"[{'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}]",http://www.mylifetime.com/movies/the-haunting-of-molly-hartley,14745,tt1045655,en,The Haunting of Molly Hartley,"When teenage Molly Hartley moves to a new town, she's haunted by terrifying visions that may have to do with dark secrets from her past. Something evil lurks just beneath the lush surfaces of her private-school world, and it holds the rights to her very soul. On the eve of her 18th birthday, Molly is about to discover the truth of just who or what she is destined to become.",9.982123,/zbmkx0w5ytRDQshLbvKjmswD6lB.jpg,"[{'name': 'Freestyle Releasing', 'id': 4616}, {'name': 'Liddell Entertainment', 'id': 8533}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2008-10-31,0.0,82.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'ru', 'name': 'Pусский'}]",Released,Her past is yet to come.,The Haunting of Molly Hartley,False,4.3,48.0
False,,1500000,"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",http://robzombie.com/movies/the-lords-of-salem/,104755,tt1731697,en,The Lords of Salem,"The City of Salem, Massachusetts is visited by a coven of ancient witches.",9.981121,/1McyfXZO1F0zfrpbqqz3DvvlZ73.jpg,"[{'name': 'Alliance Films', 'id': 2514}, {'name': 'Blumhouse Productions', 'id': 3172}, {'name': 'IM Global', 'id': 7437}, {'name': 'Automatik Entertainment', 'id': 7625}, {'name': 'Haunted Movies', 'id': 21742}]","[{'iso_3166_1': 'CA', 'name': 'Canada'}, {'iso_3166_1': 'US', 'name': 'United States of America'}, {'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",2012-09-10,1165882.0,101.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,We've been waiting... we've always been waiting,The Lords of Salem,False,5.1,244.0
False,,75000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]",http://www.charliewilsonswar.net/,6538,tt0472062,en,Charlie Wilson's War,"The true story of Texas congressman Charlie Wilson's covert dealings in Afghanistan, where his efforts to assist rebels in their war with the Soviets had some unforeseen and long-reaching effects.",9.979162,/uN9tN0ZDyol7VsTlugDZhGc11xQ.jpg,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Participant Productions', 'id': 2030}, {'name': 'Playtone Production', 'id': 2031}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2007-12-19,119000410.0,102.0,"[{'iso_639_1': 'ar', 'name': 'العربية'}, {'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'ru', 'name': 'Pусский'}, {'iso_639_1': 'ur', 'name': 'اردو'}, {'iso_639_1': 'he', 'name': 'עִבְרִית'}]",Released,Based on a true story. You think we could make all this up?,Charlie Wilson's War,False,6.5,342.0
False,"{'id': 10893, 'name': 'Critters Collection', 'poster_path': '/rWZytVHeFsADHeuoPCIf4c7Qepb.jpg', 'backdrop_path': '/9K0ycQWRv4vSL1oM8y7dOXwFpy6.jpg'}",4500000,"[{'id': 35, 'name': 'Comedy'}, {'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",,10127,tt0094919,en,Critters 2,"A batch of unhatched critter eggs are mistaken for Easter eggs by the country-folk inhabitants of Grover's Bend and, before long, the ferocious furballs are on the rampage again.",9.97523,/8aEf1xiAemsZIMpAL6pHQeJvOw2.jpg,"[{'name': 'New Line Cinema', 'id': 12}, {'name': 'Sho Films', 'id': 1532}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1988-04-29,3813293.0,86.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Get Ready for Seconds... They're Back,Critters 2,False,5.0,91.0
False,,2500000,"[{'id': 35, 'name': 'Comedy'}, {'id': 27, 'name': 'Horror'}]",,11347,tt0095488,en,The Lair of the White Worm,"In a remote corner of England's Peak District, a mysterious skull is unearthed. But even weirder is that Lady Sylvia steals the skull for use in worshiping - very erotically - her pagan god, The White Worm, who hungers for the taste of virginal flesh.",9.97466,/sSNQFYOHkey0Yke2qR3y1Y7KX6e.jpg,"[{'name': 'White Lair', 'id': 14221}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",1988-09-14,1189315.0,93.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,The Lair of the White Worm,False,5.8,59.0
False,,15000000,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",,15050,tt0085271,en,Brainstorm,Two brilliant research scientists have invented a device capable of recording and playing back sensory experiences only to have devastating results when one of them records their own death.,9.974312,/hCogasjAApDvBDuXl9lBOprhTYK.jpg,"[{'name': 'Metro-Goldwyn-Mayer (MGM)', 'id': 8411}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1983-09-30,10219460.0,106.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,...The Ultimate Experience,Brainstorm,False,6.3,65.0
False,"{'id': 9649, 'name': 'Mexico Trilogy', 'poster_path': '/qmPhILSFQKaRyc81mVJWl05tHai.jpg', 'backdrop_path': '/6p1OzuIKWnTDfDea7IpB9xra5J.jpg'}",220000,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",,9367,tt0104815,es,El Mariachi,"El Mariachi just wants to play his guitar and carry on the family tradition. Unfortunately, the town he tries to find work in has another visitor...a killer who carries his guns in a guitar case. The drug lord and his henchmen mistake El Mariachi for the killer, Azul, and chase him around town trying to kill him and get his guitar case.",9.972591,/4S47gyKZI5aLiawwc45e4gnPlPx.jpg,"[{'name': 'Columbia Pictures', 'id': 5}]","[{'iso_3166_1': 'MX', 'name': 'Mexico'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",1992-09-04,2040920.0,81.0,"[{'iso_639_1': 'es', 'name': 'Español'}]",Released,"He didn't come looking for trouble, but trouble came looking for him.",El Mariachi,False,6.6,243.0
False,,14000000,"[{'id': 35, 'name': 'Comedy'}]",,9941,tt0090966,en,Down and Out in Beverly Hills,"Beverly Hills couple Barbara and Dave Whiteman are very rich but not happy Dave is a hard working business man, his wife is only interested in yoga, aerobics and other meditation classes, and he sleeps with the house maid. Their teenage son is confused about his sexuality and their daughter is suffering from eating disorders. While they are celebrating thanksgiving having plenty of food, street tramp Jerry is hungry, homeless, sleeping rough and has lost his dog. Jerry decides to end his life by drowning himself in their swimming pool. Dave rescues him and invites him to stay for a while. How does this stranger change the life style of this family?",9.970485,/3i0LtvgZtE6mmibKOnzmCjOGHZ2.jpg,"[{'name': 'Touchstone Pictures', 'id': 9195}, {'name': 'Silver Screen Partners II', 'id': 10531}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1986-01-31,62134225.0,103.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'es', 'name': 'Español'}]",Released,See what happens when a dirty bum meets the filthy rich.,Down and Out in Beverly Hills,False,5.9,67.0
False,,42000000,"[{'id': 53, 'name': 'Thriller'}]",,2057,tt0218922,en,Original Sin,"A young man is plunged into a life of subterfuge, deceit and mistaken identity in pursuit of a femme fatale whose heart is never quite within his grasp",9.970359,/i8FEQy5IWAqOzXm4uDHy2r3Swym.jpg,"[{'name': 'Intermedia Films', 'id': 763}, {'name': 'DiNovi Pictures', 'id': 813}, {'name': 'Epsilon Motion Pictures', 'id': 1171}, {'name': 'Metro-Goldwyn-Mayer (MGM)', 'id': 8411}, {'name': 'Via Rosa Productions', 'id': 10103}, {'name': 'Hyde Park Entertainment', 'id': 13816}, {'name': 'UGC DA International', 'id': 76083}]","[{'iso_3166_1': 'FR', 'name': 'France'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",2001-08-03,35402320.0,118.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'de', 'name': 'Deutsch'}, {'iso_639_1': 'ja', 'name': '日本語'}, {'iso_639_1': 'la', 'name': 'Latin'}, {'iso_639_1': 'es', 'name': 'Español'}]",Released,This is not a love story - it's a story about love.,Original Sin,False,5.8,200.0
False,"{'id': 8580, 'name': 'The Karate Kid Collection', 'poster_path': '/o6h2F0C5eZOy50Q76fNYzc9mvvw.jpg', 'backdrop_path': '/1ok5JGCsDt4Sh3CkFeXh2F2KB7F.jpg'}",12000000,"[{'id': 12, 'name': 'Adventure'}]",,11231,tt0110657,en,The Next Karate Kid,"During a commemoration for Japanese soldiers fighting in the US Army during World War II, Mr. Miyagi meets the widow of his commanding officer. He gets to know her granddaughter Julie, an angry teenager who is still feeling the pain of losing both her parents in an accident and is having problems with her grandmother and her fellow pupils. Mr. Miyagi decides to teach her karate to get her through her pain and issues and back on the right path.",9.9697,/gu5SOBWsoxDy6mWKAkOt20zTXOb.jpg,"[{'name': 'Columbia Pictures Corporation', 'id': 441}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1994-07-18,15826984.0,107.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Who says the good guy has to be a guy?,The Next Karate Kid,False,4.8,202.0
False,,0,"[{'id': 27, 'name': 'Horror'}]",,354216,tt4935372,en,The Devil's Candy,"A struggling painter is possessed by satanic forces after he and his young family move into their dream home in rural Texas, in this creepy haunted-house tale.",9.968649,/xLw8nDNLuffMdvjYXQLwL6UCXcs.jpg,"[{'name': 'Snoot Entertainment', 'id': 15159}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2017-03-17,0.0,90.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,The Devil's Candy,False,6.4,114.0
False,,0,"[{'id': 18, 'name': 'Drama'}]",,2007,tt0104756,en,Lorenzo's Oil,"Lorenzo Odone was a normal child until the age of 7. After then, strange things began to happen to him: he would have blackouts, memory lapses, and other strange mental phemonenons. He is eventually diagnosed as suffering from ALD: an extremely rare incurable degenerative brain disorder. Frustrated at the failings of doctors and medicine in this area, the Odones begin to educate themselves",9.968395,/d4Yq4Y4ieKLD8JzxSv1g8dZzcLN.jpg,"[{'name': 'Universal Pictures', 'id': 33}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1992-12-30,7286388.0,135.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'fr', 'name': 'Français'}, {'iso_639_1': 'hu', 'name': 'Magyar'}]",Released,Some people make their own miracles.,Lorenzo's Oil,False,6.6,108.0
False,,10000000,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 878, 'name': 'Science Fiction'}]",,71254,tt1117581,en,Arena,"David Lord finds himself forced into the savage world of a modern gladiatorial arena, where men fight to the death for the entertainment of the online masses.",9.965719,/3a84UEOIJcwdEaSGaMTMC6h7g4K.jpg,"[{'name': 'Motion Picture Corporation of America', 'id': 2090}, {'name': 'Zero Gravity Management', 'id': 5357}, {'name': 'Fury Productions', 'id': 6842}, {'name': 'RCR Media Group', 'id': 17837}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2011-10-11,0.0,94.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'zh', 'name': '普通话'}]",Released,There's no greater battle... Than the battle for your life.,Arena,False,5.0,90.0
False,,70000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",,3981,tt0207201,en,What Women Want,"Advertising executive Nick Marshall is as cocky as they come, but what happens to a chauvinistic guy when he can suddenly hear what women are thinking? Nick gets passed over for a promotion, but after an accident enables him to hear women's thoughts, he puts his newfound talent to work against Darcy, his new boss, who seems to be infatuated with him.",9.963079,/xiL4PMdL2b5RRdsfEkGmaol2ScW.jpg,"[{'name': 'Paramount Pictures', 'id': 4}, {'name': 'Centropolis Entertainment', 'id': 347}, {'name': 'Icon Entertainment International', 'id': 4564}, {'name': 'Wind Dancer Productions', 'id': 8116}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2000-12-15,374111707.0,127.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'fr', 'name': 'Français'}]",Released,He has the power to hear everything women are thinking. Finally... a man is listening.,What Women Want,False,6.1,1021.0
False,,0,"[{'id': 10751, 'name': 'Family'}, {'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}, {'id': 12, 'name': 'Adventure'}]",http://www.shaunthesheep.com/,263109,tt2872750,en,Shaun the Sheep Movie,"When Shaun decides to take the day off and have some fun, he gets a little more action than he bargained for. A mix up with the Farmer, a caravan and a very steep hill lead them all to the Big City and it's up to Shaun and the flock to return everyone safely to the green grass of home.",9.961184,/aOHsNN1p2nuiF9WaMaCNXy0T80J.jpg,"[{'name': 'Aardman Animations', 'id': 297}, {'name': 'Studio Canal', 'id': 5870}, {'name': 'Anton Capital Entertainment (ACE)', 'id': 20664}]","[{'iso_3166_1': 'FR', 'name': 'France'}, {'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",2015-02-05,59700000.0,85.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Moving on to Pastures New.,Shaun the Sheep Movie,False,6.9,456.0
False,,57000000,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}, {'id': 10749, 'name': 'Romance'}]",,6073,tt0236493,en,The Mexican,"Jerry Welbach, a reluctant bagman, has been given two ultimatums: The first is from his mob boss to travel to Mexico and retrieve a priceless antique pistol, known as ""the Mexican""... or suffer the consequences. The second is from his girlfriend Samantha to end his association with the mob. Jerry figures alive and in trouble with Samantha is better than the more permanent alternative, so he heads south of the border.",9.958406,/a7PuqWv0ENFg8dt9k51AID6P1kh.jpg,"[{'name': 'DreamWorks SKG', 'id': 27}, {'name': 'Newmarket Capital Group', 'id': 506}, {'name': 'Lawrence Bender Productions', 'id': 2253}, {'name': 'Pistolero Productions LLC', 'id': 55852}]","[{'iso_3166_1': 'MX', 'name': 'Mexico'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",2001-03-01,147845033.0,123.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'es', 'name': 'Español'}]",Released,Love with the safety off.,The Mexican,False,5.8,453.0
False,,0,"[{'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}, {'id': 10752, 'name': 'War'}]",,25670,tt0032484,en,Foreign Correspondent,"The European war was only beginning to erupt across national borders. Its titular hero, Johnny Jones, is an American crime reporter dispatched by his New York publisher to put a fresh spin on the drowsy dispatches emanating from overseas, his nose for a good story promptly leading him to the crime of fascism and Nazi Germany's designs on European conquest In attempting to learn more about a seemingly noble peace effort, Jones who walks into the middle of an assassination, uncovers a spy ring, and, not entirely coincidentally, falls in love.",9.955445,/3v1icBQqlbAFkAB2PXF7Q7jKviK.jpg,"[{'name': 'United Artists', 'id': 60}, {'name': 'Walter Wanger Productions', 'id': 10096}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1940-08-16,0.0,120.0,"[{'iso_639_1': 'nl', 'name': 'Nederlands'}, {'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'lv', 'name': 'Latviešu'}]",Released,The thrill spectacle of the year!,Foreign Correspondent,False,7.0,86.0
